FECHA,Symbol,rv5_ss,bv,rv10,bv_ss,rv5,rk_parzen,rk_th2,open_time,close_time,open_to_close,rsv_ss,rk_twoscale,rsv,close_price,rv10_ss,medrv,open_price,nobs,Retornos
2010-04-07,.N225,3.11E-05,2.82E-05,3.89E-05,2.82E-05,0.00311%,2.95E-05,2.86E-05,100015,160002,-0.000308113,1.46E-05,2.80E-05,1.46E-05,11292.83,3.89E-05,8.36E-06,11296.31,2156,0.000931112
2010-04-08,.N225,2.80E-05,1.96E-05,3.23E-05,1.96E-05,0.00280%,2.49E-05,2.29E-05,100015,160001,-0.001026496,1.19E-05,2.22E-05,1.19E-05,11168.2,3.23E-05,2.42E-06,11179.67,2156,-0.011097557
2010-04-09,.N225,1.71E-05,1.52E-05,1.60E-05,1.52E-05,0.00171%,1.34E-05,1.70E-05,100015,160001,0.002656068,7.38E-06,1.67E-05,7.38E-06,11204.34,1.60E-05,6.73E-06,11174.62,2156,0.003230749
2010-04-12,.N225,2.85E-05,2.95E-05,2.94E-05,2.95E-05,0.00285%,3.41E-05,2.73E-05,100015,160002,-0.004335631,1.83E-05,2.62E-05,1.83E-05,11251.9,2.94E-05,1.22E-05,11300.79,2157,0.0042358
2010-04-13,.N225,4.23E-05,3.61E-05,3.95E-05,3.61E-05,0.00423%,4.38E-05,3.69E-05,100015,160001,-0.003728293,2.29E-05,3.59E-05,2.29E-05,11161.23,3.95E-05,1.04E-05,11202.92,2156,-0.008090837
2010-04-14,.N225,4.18E-05,4.33E-05,4.41E-05,4.33E-05,0.00418%,3.98E-05,3.98E-05,100015,160002,-0.00076366,1.94E-05,3.88E-05,1.94E-05,11204.9,4.41E-05,1.29E-05,11213.46,2157,0.003905017
2010-04-15,.N225,3.40E-05,3.62E-05,4.08E-05,3.62E-05,0.00340%,2.10E-05,3.13E-05,100015,160002,-0.003212917,1.78E-05,3.05E-05,1.78E-05,11273.79,4.08E-05,8.88E-06,11310.07,2156,0.00612938
2010-04-16,.N225,4.30E-05,3.10E-05,4.11E-05,3.10E-05,0.00430%,6.13E-05,3.78E-05,100015,160001,-0.011494477,3.26E-05,3.69E-05,3.26E-05,11102.18,4.11E-05,8.88E-06,11230.53,2157,-0.015339077
2010-04-19,.N225,2.54E-05,2.12E-05,2.51E-05,2.12E-05,0.00254%,2.13E-05,2.37E-05,100015,160001,-0.001911312,1.42E-05,2.34E-05,1.42E-05,10908.77,2.51E-05,9.07E-06,10929.64,2156,-0.017574433
2010-04-20,.N225,4.01E-05,3.89E-05,4.04E-05,3.89E-05,0.00401%,3.62E-05,3.23E-05,100015,160002,-0.005437145,2.47E-05,3.18E-05,2.47E-05,10900.68,4.04E-05,8.38E-06,10960.11,2156,-0.00074188
