DATE,Symbol,close_price,Retornos,Retornos_2,Weights,EWMA,
8/7/2015,.OMXHPI,8030.74,0.006092683,0,0,0,
9/7/2015,.OMXHPI,8236.27,0.025270893,0,0,0,
10/7/2015,.OMXHPI,8412.32,0.021149726,0,0,0,
13/07/2015,.OMXHPI,8560.13,0.017418079,0,0,0,
14/07/2015,.OMXHPI,8615.09,0.00639994,0,0,0,
15/07/2015,.OMXHPI,8608.41,-0.000775684,0,0,0,
16/07/2015,.OMXHPI,8704.25,0.01107178,0,0,0,
17/07/2015,.OMXHPI,8735.24,0.003554007,0,0,0,
20/07/2015,.OMXHPI,8838.04,0.011699714,0,0,0,
21/07/2015,.OMXHPI,8645.61,-0.022013455,0,0,0,
22/07/2015,.OMXHPI,8563.33,-0.009562544,0,0,0,
23/07/2015,.OMXHPI,8564.31,0.000114435,0,0,0,
24/07/2015,.OMXHPI,8544.1,-0.002362582,0,0,0,
27/07/2015,.OMXHPI,8410.25,-0.015789786,0,0,0,
28/07/2015,.OMXHPI,8467.86,0.00682662,0,0,0,
29/07/2015,.OMXHPI,8519.45,0.006073964,0,0,0,
30/07/2015,.OMXHPI,8631.66,0.013085054,0,0,0,
31/07/2015,.OMXHPI,8651.03,0.00224155,0,0,0,
3/8/2015,.OMXHPI,8688.34,0.004303508,0,0,0,
4/8/2015,.OMXHPI,8711.42,0.002652912,0,0,0,
5/8/2015,.OMXHPI,8730.54,0.002192415,0,0,0,
6/8/2015,.OMXHPI,8734.37,0.000438594,0,0,0,
7/8/2015,.OMXHPI,8656.36,-0.008971506,0,0,0,
10/8/2015,.OMXHPI,8717.35,0.007020982,0,0,0,
11/8/2015,.OMXHPI,8595.05,-0.014128836,0,0,0,
12/8/2015,.OMXHPI,8379.02,-0.025455494,0,0,0,
13/08/2015,.OMXHPI,8527.11,0.017519537,0,0,0,
14/08/2015,.OMXHPI,8524.21,-0.00034015,0,0,0,
17/08/2015,.OMXHPI,8524.28,8.21E-06,0,0,0,
18/08/2015,.OMXHPI,8530.42,0.000720036,0,0,0,
19/08/2015,.OMXHPI,8369.31,-0.019067154,0,0,0,
20/08/2015,.OMXHPI,8160.56,-0.02525865,0,0,0,
21/08/2015,.OMXHPI,7969.5,-0.023691038,0,0,0,
24/08/2015,.OMXHPI,7557.45,-0.053087924,0,0,0,
25/08/2015,.OMXHPI,7846.79,0.037570699,0,0,0,
26/08/2015,.OMXHPI,7805.46,-0.005281042,0,0,0,
27/08/2015,.OMXHPI,8013.72,0.026331584,0,0,0,
28/08/2015,.OMXHPI,8009.39,-0.000540469,0,0,0,
31/08/2015,.OMXHPI,7942.81,-0.008347486,0,0,0,
1/9/2015,.OMXHPI,7769.33,-0.022083185,0,0,0,
2/9/2015,.OMXHPI,7812.54,0.005546203,0,0,0,
3/9/2015,.OMXHPI,7995.78,0.023183767,0,0,0,
4/9/2015,.OMXHPI,7833.48,-0.020507047,0,0,0,
7/9/2015,.OMXHPI,7850.28,0.002142344,0,0,0,
8/9/2015,.OMXHPI,7979.96,0.016384199,0,0,0,
9/9/2015,.OMXHPI,8128.41,0.018431934,0,0,0,
10/9/2015,.OMXHPI,8056.21,-0.00892211,0,0,0,
11/9/2015,.OMXHPI,8001.92,-0.00676171,0,0,0,
14/09/2015,.OMXHPI,7928.75,-0.009186119,0,0,0,
15/09/2015,.OMXHPI,7934.58,0.000735029,0,0,0,
16/09/2015,.OMXHPI,8009.14,0.009352967,0,0,0,
17/09/2015,.OMXHPI,8007.7,-0.000179811,0,0,0,
18/09/2015,.OMXHPI,7873.83,-0.016858977,0,0,0,
21/09/2015,.OMXHPI,7949.73,0.009593364,0,0,0,
22/09/2015,.OMXHPI,7708.23,-0.030849377,0,0,0,
23/09/2015,.OMXHPI,7730.31,0.002860376,0,0,0,
24/09/2015,.OMXHPI,7536.15,-0.025437524,0,0,0,
25/09/2015,.OMXHPI,7707.53,0.022486332,0,0,0,
28/09/2015,.OMXHPI,7534.35,-0.022725209,0,0,0,
29/09/2015,.OMXHPI,7563.22,0.003824461,0,0,0,
30/09/2015,.OMXHPI,7682.1,0.015595922,0,0,0,
1/10/2015,.OMXHPI,7659.66,-0.002925351,0,0,0,
2/10/2015,.OMXHPI,7729.11,0.009026124,0,0,0,
5/10/2015,.OMXHPI,7958.3,0.029221689,0,0,0,
6/10/2015,.OMXHPI,8050.98,0.011578414,0,0,0,
7/10/2015,.OMXHPI,8058.24,0.000901347,0,0,0,
8/10/2015,.OMXHPI,8052.28,-0.000739889,0,0,0,
9/10/2015,.OMXHPI,8088.15,0.004444746,0,0,0,
12/10/2015,.OMXHPI,8083.91,-0.000524361,0,0,0,
13/10/2015,.OMXHPI,8012.2,-0.008910286,0,0,0,
14/10/2015,.OMXHPI,7982.12,-0.00376134,0,0,0,
15/10/2015,.OMXHPI,8064.1,0.010218072,0,0,0,
16/10/2015,.OMXHPI,8034,-0.003739576,0,0,0,
19/10/2015,.OMXHPI,8118.19,0.010424687,0,0,0,
20/10/2015,.OMXHPI,8120.02,0.000225394,0,0,0,
21/10/2015,.OMXHPI,8110.18,-0.001212555,0,0,0,
22/10/2015,.OMXHPI,8243.6,0.016317079,0,0,0,
23/10/2015,.OMXHPI,8293.45,0.006028905,0,0,0,
26/10/2015,.OMXHPI,8282.09,-0.001370695,0,0,0,
27/10/2015,.OMXHPI,8184.98,-0.011794585,0,0,0,
28/10/2015,.OMXHPI,8263.82,0.009586183,0,0,0,
29/10/2015,.OMXHPI,8345.07,0.009783995,0,0,0,
30/10/2015,.OMXHPI,8379.94,0.004169809,0,0,0,
2/11/2015,.OMXHPI,8447.03,0.007974146,0,0,0,
3/11/2015,.OMXHPI,8515.61,0.00808605,0,0,0,
4/11/2015,.OMXHPI,8607.98,0.01078873,0,0,0,
5/11/2015,.OMXHPI,8601.57,-0.000744935,0,0,0,
6/11/2015,.OMXHPI,8631.62,0.00348746,0,0,0,
9/11/2015,.OMXHPI,8563,-0.007981609,0,0,0,
10/11/2015,.OMXHPI,8509.59,-0.006256833,0,0,0,
11/11/2015,.OMXHPI,8614.7,0.012276284,0,0,0,
12/11/2015,.OMXHPI,8533.28,-0.009496234,0,0,0,
13/11/2015,.OMXHPI,8440.52,-0.010929895,0,0,0,
16/11/2015,.OMXHPI,8494.74,0.00640323,0,0,0,
17/11/2015,.OMXHPI,8637.34,0.016647517,0,0,0,
18/11/2015,.OMXHPI,8672,0.00400478,0,0,0,
19/11/2015,.OMXHPI,8671.63,-4.27E-05,0,0,0,
20/11/2015,.OMXHPI,8732.9,0.007040725,0,0,0,
23/11/2015,.OMXHPI,8768.69,0.00408992,0,0,0,
24/11/2015,.OMXHPI,8615.31,-0.017646569,0,0,0,
25/11/2015,.OMXHPI,8707.02,0.010588744,0,0,0,
26/11/2015,.OMXHPI,8762.99,0.006407574,0,0,0,
27/11/2015,.OMXHPI,8754.34,-0.000987594,0,0,0,
30/11/2015,.OMXHPI,8826.78,0.008240705,0,0,0,
1/12/2015,.OMXHPI,8823.04,-0.0004238,0,0,0,
2/12/2015,.OMXHPI,8882.1,0.006671534,0,0,0,
3/12/2015,.OMXHPI,8698.75,-0.020858678,0,0,0,
4/12/2015,.OMXHPI,8661.76,-0.004261402,0,0,0,
7/12/2015,.OMXHPI,8701.43,0.004569445,0,0,0,
8/12/2015,.OMXHPI,8544.27,-0.018226497,0,0,0,
9/12/2015,.OMXHPI,8439.72,-0.01231175,0,0,0,
10/12/2015,.OMXHPI,8539.66,0.011772062,0,0,0,
11/12/2015,.OMXHPI,8317.47,-0.026363072,0,0,0,
14/12/2015,.OMXHPI,8200.25,-0.01419348,0,0,0,
15/12/2015,.OMXHPI,8408.27,0.025051104,0,0,0,
16/12/2015,.OMXHPI,8467.91,0.00706798,0,0,0,
17/12/2015,.OMXHPI,8540.51,0.008537,0,0,0,
18/12/2015,.OMXHPI,8430.84,-0.012924314,0,0,0,
21/12/2015,.OMXHPI,8415.76,-0.001790273,0,0,0,
22/12/2015,.OMXHPI,8405.73,-0.001192522,0,0,0,
23/12/2015,.OMXHPI,8570.01,0.019355283,0,0,0,
28/12/2015,.OMXHPI,8513.14,-0.006658047,0,0,0,
29/12/2015,.OMXHPI,8634.37,0.014139898,0,0,0,
30/12/2015,.OMXHPI,8609.79,-0.002850822,0,0,0,
4/1/2016,.OMXHPI,8374.92,-0.027658402,0,0,0,
5/1/2016,.OMXHPI,8382.58,0.000914218,0,0,0,
7/1/2016,.OMXHPI,8203.4,-0.021607041,0,0,0,
8/1/2016,.OMXHPI,8240.87,0.004557218,0,0,0,
11/1/2016,.OMXHPI,8283.98,0.005217608,0,0,0,
12/1/2016,.OMXHPI,8355.53,0.008600066,0,0,0,
13/01/2016,.OMXHPI,8403.87,0.005768719,0,0,0,
14/01/2016,.OMXHPI,8216.81,-0.022510258,0,0,0,
15/01/2016,.OMXHPI,7981.64,-0.029038152,0,0,0,
18/01/2016,.OMXHPI,7939.4,-0.005306198,0,0,0,
19/01/2016,.OMXHPI,8071.2,0.016464464,0,0,0,
